chinese, english
天差地别, as different as heaven and earth
看似相似, seem similar
潜入, dive into
阵中, array
沟通天地, communicate with heaven and earth
讲究, paying attention to
罕见, rarely seen
大道, mainstream
天地清气, heaven and earthly qi
吐纳, exhale
凝练, condense
本质, innate character
吞噬, to devour
清浊不辨, pure and impure mix
一日千里, rapidly progress
滞纳, overdue
戾气, evil tendencies
没沾过, never touched
沾过, touched
破戒见血, commit the taboo of spilling blood
破戒, commit a taboo
拉回来, pull back
道者, daoists
非得, must
孤注一掷, bet everything on one throw of the dice
死不回头的志愿, will to never give up
死不回头, never give up
即便, even if
穿过, pass through
步步, at every step
惊心, shocking
好生, thoroughly
耗费, squandered
身材, stature
辐射, radiated
强横, tyrannical
八荒六合唯我独尊, throughout the eight wastes, only I am supreme
骄狂, arrogance
深浅, depth
闪身, dodged
藏匿, hid
树, tree
一空, to the last drop
阵, spell
不对劲, out of sorts
浑身, all over
紧绷, stretched taut
如临大敌, as though face-to-face with their nemesis
自言自语, spoke to themself
嘀咕, mutter
砸, pound
形似, seem
疯狂, crazy
敢, dare
吼, roar
木偶, puppet
陡然, suddenly
僵硬, rigid
一瞬, an instant
嘴, mouth
夜枭般, nightmarish
阴森的笑, grin
阴森, sinister
眉头紧锁, brows knitted
毛骨悚然, hair stand on end
饱含怒意, brimming with fury
咆哮, snarled
胸口, stomach
随即, immediately
撞伤, hit
撞, knock against
反正, in any case
踉跄, staggered
吐, spat
毛病, disorder
惊呼, cry of surprise
边缘, periphery
烟花, fireworks
顷刻间, in an instant
骨爪, bone talons
骨, bones
爪, claws
森然, thick
锁链, shackles
绑住, fastened
粗暴, roughly
扔, threw
狠狠, ruthlessly
倒霉, unlucky
废物, wastrel
涌, bubbled up
胸, torso
"先自损一万，又自损八千", to lose a little after losing a lot
触动, activated
魔布, array
爆, exploded
着实, truly
企图, to attempt
反抗, to resist
七荤八素, confused and distracted
差点, nearly
骂人, to curse
激怒, infuriate
保命, life-saving
